,mean,std,min,max,count
p0_nodes,14281.291220556745,18997.99842846034,0.0,67072.0,467
p0_cutoffs,6605.843683083512,9489.311975021737,0.0,35742.0,467
p0_tt_hits,3287.3768736616703,4830.076012026013,0.0,20032.0,467
p0_tt_cutoffs,2395.167023554604,3652.566241383173,0.0,14644.0,467
p0_skipped_move,0.0,0.0,0.0,0.0,467
p0_depth,10.657387580299785,8.437347129280283,0.0,20.0,467
p0_time_spent,0.6147977177729902,0.8355674611408596,6.500000017695129e-05,3.037819999997737,467
p1_nodes,16643.77598152425,22775.101482360114,99.0,93184.0,433
p1_cutoffs,7612.411085450346,11433.187524161776,0.0,49194.0,433
p1_tt_hits,4068.706697459584,6283.47215206673,0.0,29663.0,433
p1_tt_cutoffs,2693.5519630484987,4309.330052763525,0.0,20146.0,433
p1_skipped_move,0.0,0.0,0.0,0.0,433
p1_depth,9.690531177829099,7.516345725588992,2.0,20.0,433
p1_time_spent,0.7237489771362522,0.9585289390530132,0.0017039000013028271,3.5002718000032473,433
