,mean,std,min,max,count
p0_nodes,2952.9902280130295,3712.889593344949,49.0,29711.0,1842
p0_cutoffs,1101.2204125950054,1621.6141722439445,0.0,13053.0,1842
p0_tt_hits,552.1568946796959,810.0352151355755,0.0,5630.0,1842
p0_tt_cutoffs,395.67372421281215,607.735567973392,0.0,4361.0,1842
p0_skip_move,63.67262969588551,65.7005606480729,2.0,442.0,559
p1_nodes,2221.29274611399,3742.135420102086,216.0,48909.0,1158
p1_cutoffs,249.0250431778929,456.7123506331453,34.0,5951.0,1158
p1_tt_hits,74.7720207253886,230.4132800679422,1.0,3455.0,1158
p1_tt_cutoffs,35.286701208981,135.0664993741748,0.0,2209.0,1158
p1_skip_move,107.66121495327103,270.8435674488697,2.0,2571.0,428
