,mean,std,min,max,count
p0_nodes,5776.748333333333,7654.213026279311,0.0,35225.0,600
p0_cutoffs,3063.9466666666667,4516.402604635193,0.0,20207.0,600
p0_tt_hits,1192.66,1752.1931660255575,0.0,8077.0,600
p0_tt_cutoffs,931.5216666666666,1404.6389759877407,0.0,6493.0,600
p0_skipped_move,0.0,0.0,0.0,0.0,600
p0_depth,9.665,7.828331559151029,0.0,18.0,600
p0_time_spent,0.2987961036666699,0.3918477034034022,4.5900000259280205e-05,1.9311034999991534,600
p1_nodes,5867.78,7773.040561341918,0.0,33620.0,600
p1_cutoffs,3064.0116666666668,4499.716470497212,0.0,18703.0,600
p1_tt_hits,1242.5583333333334,1854.3611379476642,0.0,8155.0,600
p1_tt_cutoffs,966.6516666666666,1472.1565225876025,0.0,6488.0,600
p1_skipped_move,0.0,0.0,0.0,0.0,600
p1_depth,9.665,7.828331559151029,0.0,18.0,600
p1_time_spent,0.3733938476666663,0.4929407985110167,4.6200002543628216e-05,2.0737200000003213,600
