,mean,std,min,max,count
p0_nodes,17887.30081300813,30501.11622810521,149.0,229888.0,861
p0_cutoffs,8194.429732868757,16294.030143350848,0.0,127789.0,861
p0_tt_hits,4700.67131242741,10181.56312531505,0.0,80429.0,861
p0_tt_cutoffs,3151.548199767712,6829.933934246137,0.0,55222.0,861
p0_skipped_move,0.0,0.0,0.0,0.0,861
p0_depth,11.534262485481998,11.037694850610324,1.0,30.0,861
p0_time_spent,0.7823507444832055,1.1667542673822333,0.002598999999463558,8.278640600001381,861
p1_nodes,16452.917997870074,31394.264451558734,149.0,202240.0,939
p1_cutoffs,7817.818956336529,16812.966677909168,0.0,114855.0,939
p1_tt_hits,4453.151224707135,10600.683354734954,0.0,68303.0,939
p1_tt_cutoffs,3004.315228966986,7073.994509334601,0.0,48573.0,939
p1_skipped_move,0.0,0.0,0.0,0.0,939
p1_depth,10.957401490947817,11.296012097523118,1.0,30.0,939
p1_time_spent,0.7221044743343029,1.2058195661777749,0.002650200003699865,8.241781100005028,939
