,mean,std,min,max,count
p0_nodes,17612.199324324323,30337.609025920192,149.0,195072.0,592
p0_cutoffs,7860.22972972973,15897.824585732184,0.0,104940.0,592
p0_tt_hits,4642.018581081081,10327.188021777987,0.0,72935.0,592
p0_tt_cutoffs,3126.4155405405404,6957.877550401423,0.0,45179.0,592
p0_skipped_move,0.0,0.0,0.0,0.0,592
p0_depth,11.73141891891892,10.871663483827486,2.0,30.0,592
p0_time_spent,0.7554297258444004,1.1446880999934508,0.0025558999986969866,6.636792199999036,592
p1_nodes,17619.54605263158,32685.95622506038,149.0,197632.0,608
p1_cutoffs,8275.166118421053,17119.494347118525,0.0,99787.0,608
p1_tt_hits,4923.723684210527,11297.246250657356,0.0,79431.0,608
p1_tt_cutoffs,3341.5361842105262,7648.388071619107,0.0,48581.0,608
p1_skipped_move,0.0,0.0,0.0,0.0,608
p1_depth,10.524671052631579,11.717594587546944,1.0,30.0,608
p1_time_spent,0.7432187616778289,1.224403576706613,0.00266389999887906,6.755807299996377,608
