,mean,std,min,max,count
p0_nodes,18273.80487804878,26596.16615982371,89.0,144295.0,123
p0_cutoffs,8583.975609756097,14091.815085858858,0.0,80741.0,123
p0_tt_hits,4574.235772357723,7227.130363143785,0.0,37106.0,123
p0_tt_cutoffs,3140.918699186992,5164.08140973768,0.0,27061.0,123
p0_skipped_move,0.0,0.0,0.0,0.0,123
p0_depth,10.341463414634147,7.264827023374736,2.0,18.0,123
p0_time_spent,1.1149027635689956,1.6232365160980784,0.001921938997838879,8.99998083799801,123
p1_nodes,9737.017094017094,10395.666639109906,149.0,35840.0,117
p1_cutoffs,3918.4188034188032,4858.925436478035,0.0,17818.0,117
p1_tt_hits,2068.076923076923,2615.8212325345494,0.0,9389.0,117
p1_tt_cutoffs,1321.8632478632478,1759.0188256986055,0.0,6373.0,117
p1_skipped_move,0.0,0.0,0.0,0.0,117
p1_depth,11.324786324786325,10.724864519957206,1.0,30.0,117
p1_time_spent,0.6128175712050522,0.6423415499078955,0.003208861999155488,2.261331440000504,117
