,mean,std,min,max,count
p0_nodes,17463.516129032258,29326.059899632553,89.0,176329.0,310
p0_cutoffs,8210.735483870967,15220.74588718599,0.0,91435.0,310
p0_tt_hits,4434.145161290323,8440.948294545244,0.0,54955.0,310
p0_tt_cutoffs,3106.0516129032258,6134.269100498943,0.0,38759.0,310
p0_skipped_move,0.0,0.0,0.0,0.0,310
p0_depth,10.419354838709678,7.2941611361787935,2.0,18.0,310
p0_time_spent,0.7511376616141323,1.228948839208038,0.0013639000244438648,6.83855250000488,310
p1_nodes,16284.582758620689,18704.060707781948,149.0,64512.0,290
p1_cutoffs,7155.8,9545.07580945672,0.0,35377.0,290
p1_tt_hits,3754.8172413793104,5300.282615533847,0.0,22857.0,290
p1_tt_cutoffs,2579.396551724138,3763.981993340963,0.0,15661.0,290
p1_skipped_move,0.0,0.0,0.0,0.0,290
p1_depth,11.348275862068965,10.195303878025383,2.0,30.0,290
p1_time_spent,0.7245887168950064,0.777099357876776,0.0026060999953188,2.546542500029318,290
