,mean,std,min,max,count
p0_nodes,12051.908695652173,18532.273288261047,74.0,118921.0,460
p0_cutoffs,5388.228260869565,9253.96993363819,0.0,62695.0,460
p0_tt_hits,2695.008695652174,4732.657315414013,0.0,31354.0,460
p0_tt_cutoffs,1878.0478260869565,3403.595863503846,0.0,23316.0,460
p0_skipped_move,0.0,0.0,0.0,0.0,460
p0_depth,8.789130434782608,5.904409857521365,2.0,15.0,460
p0_time_spent,0.749475484495657,1.108946294837827,0.0015321009996114299,7.310148425000079,460
p1_nodes,10946.743181818181,15387.988195784072,0.0,72704.0,440
p1_cutoffs,4842.238636363636,7595.327236642873,0.0,36441.0,440
p1_tt_hits,2344.7090909090907,3764.512843879741,0.0,16763.0,440
p1_tt_cutoffs,1616.3977272727273,2705.9786674383076,0.0,12490.0,440
p1_skipped_move,0.0,0.0,0.0,0.0,440
p1_depth,8.297727272727272,5.839130875409909,0.0,15.0,440
p1_time_spent,0.6910444158726974,0.9418880398217461,9.612000030756462e-05,4.664709781000056,440
