,mean,std,min,max,count
p0_nodes,10833.67386091127,15797.002996094585,95.0,74927.0,417
p0_cutoffs,6038.393285371702,9777.78248382332,0.0,47419.0,417
p0_tt_hits,2663.3525179856115,4595.508564028796,0.0,23691.0,417
p0_tt_cutoffs,2090.218225419664,3649.310476292428,0.0,17986.0,417
p0_skipped_move,0.0,0.0,0.0,0.0,417
p0_depth,12.203836930455635,9.903088424219826,2.0,24.0,417
p0_time_spent,0.5271606050360609,0.6894761352088326,0.0026396000030217692,3.2681950999976834,417
p1_nodes,9372.064182194617,13494.189739847705,95.0,82843.0,483
p1_cutoffs,5341.871635610766,8244.135953962363,0.0,49223.0,483
p1_tt_hits,2358.5010351966876,3833.0400339903626,0.0,26426.0,483
p1_tt_cutoffs,1847.9958592132505,3022.351275050026,0.0,19888.0,483
p1_skipped_move,0.0,0.0,0.0,0.0,483
p1_depth,13.873706004140788,10.051760047591326,2.0,24.0,483
p1_time_spent,0.4716527706002971,0.650770325777526,0.004328900002292357,3.7977611999958754,483
