,mean,std,min,max,count
p0_nodes,10383.253333333334,14139.688698452861,0.0,55523.0,600
p0_cutoffs,4968.1866666666665,7391.384901930685,0.0,28695.0,600
p0_tt_hits,2251.6783333333333,3445.850168661413,0.0,12500.0,600
p0_tt_cutoffs,1872.3516666666667,2924.840549157718,0.0,10837.0,600
p0_skipped_move,0.0,0.0,0.0,0.0,600
p0_depth,9.651666666666667,7.821785637279736,0.0,18.0,600
p0_time_spent,0.5105503420000119,0.689696247450205,4.769999941345304e-05,2.6259180000051856,600
p1_nodes,11501.108333333334,15662.671539361685,0.0,55808.0,600
p1_cutoffs,5178.055,7571.1862775024665,0.0,29101.0,600
p1_tt_hits,2576.3283333333334,3850.8543165377246,0.0,14703.0,600
p1_tt_cutoffs,1879.4233333333334,2897.9469820527925,0.0,11287.0,600
p1_skipped_move,0.0,0.0,0.0,0.0,600
p1_depth,9.585,7.764627593559569,0.0,18.0,600
p1_time_spent,0.5596396833333589,0.7710948863238708,4.629999602911994e-05,2.662019900002633,600
