,mean,std,min,max,count
p0_nodes,11530.333333333334,17951.564715150103,74.0,72839.0,72
p0_cutoffs,5379.805555555556,9294.703214792833,0.0,38975.0,72
p0_tt_hits,2480.5416666666665,4197.765334534488,0.0,16313.0,72
p0_tt_cutoffs,1601.5555555555557,2853.4878457429027,0.0,11962.0,72
p0_skipped_move,0.0,0.0,0.0,0.0,72
p0_depth,9.819444444444445,5.937934519513051,2.0,15.0,72
p0_time_spent,0.7244844616810345,1.1213975257525164,0.0016855470021255314,4.658895129003213,72
p1_nodes,12340.958333333334,11718.254086321786,1577.0,37888.0,48
p1_cutoffs,4691.104166666667,5472.52304411009,53.0,17002.0,48
p1_tt_hits,1702.0416666666667,2037.7953667130619,1.0,7149.0,48
p1_tt_cutoffs,1190.8541666666667,1533.8094322848494,0.0,5449.0,48
p1_skipped_move,0.0,0.0,0.0,0.0,48
p1_depth,5.770833333333333,3.996037533885564,2.0,13.0,48
p1_time_spent,0.9284496903962159,0.8320433298658233,0.20217626899830066,2.7144355659984285,48
