,mean,std,min,max,count
p0_nodes,15376.057547169812,20975.36671371898,74.0,87040.0,1060
p0_cutoffs,4829.842452830188,7310.307798716231,0.0,30762.0,1060
p0_tt_hits,2736.4207547169813,4124.7570353081355,0.0,21967.0,1060
p0_tt_cutoffs,1575.304716981132,2471.4335727098496,0.0,12145.0,1060
p0_skipped_move,0.0,0.0,0.0,0.0,1060
p0_depth,7.55,5.5543922786300985,2.0,15.0,1060
p0_time_spent,0.5658054666980944,0.770025578724285,0.0010958000020764302,2.611439500000415,1060
p1_nodes,17543.517567567567,23865.925901166323,74.0,89482.0,740
p1_cutoffs,4724.117567567568,7264.027900475091,0.0,31257.0,740
p1_tt_hits,3142.645945945946,4675.700975809538,0.0,24614.0,740
p1_tt_cutoffs,1908.8891891891892,2903.883044075107,0.0,13906.0,740
p1_skipped_move,0.0,0.0,0.0,0.0,740
p1_depth,7.672972972972973,5.817594406191034,2.0,15.0,740
p1_time_spent,0.7199490764865422,0.9652579462105708,0.0018620000009832438,3.30427740000232,740
