,mean,std,min,max,count
p0_nodes,11589.041714947856,17474.4791058685,89.0,98304.0,863
p0_cutoffs,5449.536500579375,9148.21688142656,0.0,51705.0,863
p0_tt_hits,3025.7300115874855,5166.305125202063,0.0,31051.0,863
p0_tt_cutoffs,2006.0486674391657,3550.012918873229,0.0,19767.0,863
p0_skipped_move,0.0,0.0,0.0,0.0,863
p0_depth,10.00811123986095,7.3997700648033256,1.0,18.0,863
p0_time_spent,0.5854201872527128,0.86339659885331,0.003990099998190999,3.6825192000251263,863
p1_nodes,14412.673425827108,18067.827692864103,89.0,72704.0,937
p1_cutoffs,6360.076840981857,8850.01953150818,0.0,36407.0,937
p1_tt_hits,3111.668089647812,4564.681346006814,0.0,20159.0,937
p1_tt_cutoffs,2032.760939167556,3112.59107189549,0.0,13422.0,937
p1_skipped_move,0.0,0.0,0.0,0.0,937
p1_depth,9.244397011739595,6.908691962767275,2.0,18.0,937
p1_time_spent,0.6205720450376779,0.7538310411200939,0.0013044000370427966,3.0489974999800324,937
