,mean,std,min,max,count
p0_nodes,11242.13769751693,16403.438794320165,74.0,90112.0,886
p0_cutoffs,4382.581264108352,6908.956771306025,0.0,37645.0,886
p0_tt_hits,2585.4582392776524,4095.1938060614575,0.0,25490.0,886
p0_tt_cutoffs,1573.823927765237,2606.7159169984566,0.0,16073.0,886
p0_skipped_move,0.0,0.0,0.0,0.0,886
p0_depth,8.580135440180587,5.974155246322601,2.0,15.0,886
p0_time_spent,0.5674113106095147,0.8421332402014594,0.0035479000071063638,3.6200336000183597,886
p1_nodes,16951.227571115975,23279.966794443666,74.0,95232.0,914
p1_cutoffs,5763.794310722101,8421.622836778948,0.0,35771.0,914
p1_tt_hits,3282.080962800875,4937.3225056880465,0.0,21086.0,914
p1_tt_cutoffs,1853.863238512035,2835.631442594901,0.0,12407.0,914
p1_skipped_move,0.0,0.0,0.0,0.0,914
p1_depth,7.986870897155361,5.668238745086294,2.0,15.0,914
p1_time_spent,0.5790228097378868,0.7691136469346597,0.0010322000016458333,3.1905771999736317,914
