,mean,std,min,max,count
p0_nodes,10579.008296107211,16827.483674137893,74.0,165022.0,1567
p0_cutoffs,4836.207402680281,8222.046923780217,0.0,71303.0,1567
p0_tt_hits,2482.6821952776004,4055.946672343174,0.0,28273.0,1567
p0_tt_cutoffs,1693.245054243778,2906.5963282909515,0.0,20470.0,1567
p0_skipped_move,0.0,0.0,0.0,0.0,1567
p0_depth,9.257179323548181,5.987188871981139,2.0,15.0,1567
p0_time_spent,0.6982612772807586,1.2320936947601004,0.003409299999475479,14.811508699960541,1567
p1_nodes,11969.295882763434,17695.03091213856,74.0,91867.0,1433
p1_cutoffs,5309.533147243545,8737.26484045818,0.0,48159.0,1433
p1_tt_hits,2484.0572226099093,4235.627904679544,0.0,23415.0,1433
p1_tt_cutoffs,1689.9253314724353,3008.930979239978,0.0,16861.0,1433
p1_skipped_move,0.0,0.0,0.0,0.0,1433
p1_depth,8.020935101186323,5.736197180431252,2.0,15.0,1433
p1_time_spent,0.6352090665033809,0.9350416621861822,0.0010979999788105488,7.439651100023184,1433
