,mean,std,min,max,count
p0_nodes,11809.156976744185,18080.437486897445,74.0,119659.0,516
p0_cutoffs,5397.581395348837,9130.731232294489,0.0,58904.0,516
p0_tt_hits,2663.998062015504,4587.30784254167,0.0,31954.0,516
p0_tt_cutoffs,1845.34496124031,3333.204334111506,0.0,24049.0,516
p0_skip_move,181.43037974683546,161.9774441408566,3.0,1020.0,237
p1_nodes,4458.197916666667,5861.980318774876,49.0,28774.0,384
p1_cutoffs,1745.3697916666667,2766.830767044211,0.0,13396.0,384
p1_tt_hits,753.1484375,1264.2154234229527,0.0,6832.0,384
p1_tt_cutoffs,550.5703125,974.1769016360182,0.0,5328.0,384
p1_skip_move,62.078947368421055,51.091858234354085,4.0,265.0,190
