,mean,std,min,max,count
p0_nodes,654.8995279838166,599.5292489251066,24.0,4736.0,1483
p0_cutoffs,151.0262980445044,183.43982639696245,0.0,1643.0,1483
p0_tt_hits,42.86918408631153,63.9643181766702,0.0,508.0,1483
p0_tt_cutoffs,27.970330411328387,46.451932061768304,0.0,359.0,1483
p0_skip_move,14.187725631768952,15.368193309083924,2.0,86.0,277
p1_nodes,2315.671061305208,3356.21115019303,15.0,22768.0,1517
p1_cutoffs,270.318391562294,411.3723076351168,0.0,2996.0,1517
p1_tt_hits,151.74818721160185,320.68036173390726,0.0,2330.0,1517
p1_tt_cutoffs,84.64139749505603,199.80232967312065,0.0,1570.0,1517
p1_skip_move,183.4032738095238,271.9738851718536,2.0,1641.0,672
