,mean,std,min,max,count
p0_nodes,10945.095652173914,15922.705497099807,74.0,58975.0,115
p0_cutoffs,4906.478260869565,7830.648543686839,0.0,30797.0,115
p0_tt_hits,2579.1652173913044,4244.520381427727,0.0,17332.0,115
p0_tt_cutoffs,1838.1565217391305,3165.6681020003793,0.0,13098.0,115
p0_skipped_move,0.0,0.0,0.0,0.0,115
p0_depth,8.460869565217392,5.911355257721089,2.0,15.0,115
p0_time_spent,0.686542600939087,0.9830712927058085,0.0017498680026619695,3.6611356009998417,115
p1_nodes,8761.2,10736.958685214357,74.0,34816.0,125
p1_cutoffs,3722.424,4948.825595252271,0.0,17252.0,125
p1_tt_hits,1870.456,2589.685607185552,0.0,9115.0,125
p1_tt_cutoffs,1307.528,1871.4154838560037,0.0,6969.0,125
p1_skipped_move,0.0,0.0,0.0,0.0,125
p1_depth,8.256,5.605574368430054,1.0,15.0,125
p1_time_spent,0.5489976693198841,0.6650494782602405,0.0015907810011412948,2.2257476249978936,125
