,mean,std,min,max,count
p0_nodes,11676.09747706422,18131.78319729373,74.0,117472.0,872
p0_cutoffs,5315.660550458716,9129.59743801373,0.0,60962.0,872
p0_tt_hits,2625.3658256880735,4548.993195936454,0.0,31668.0,872
p0_tt_cutoffs,1817.6467889908256,3285.8566184459573,0.0,23446.0,872
p0_skipped_move,0.0,0.0,0.0,0.0,872
p0_depth,8.47362385321101,5.892519101632233,2.0,15.0,872
p0_time_spent,0.5246669330283128,0.8018741030886298,0.0012054000108037144,5.0897696999891195,872
p1_nodes,14852.018318965518,16477.21659604246,149.0,62464.0,928
p1_cutoffs,6372.3739224137935,8164.199509879807,0.0,32659.0,928
p1_tt_hits,3119.0625,4063.690454274626,0.0,18877.0,928
p1_tt_cutoffs,2135.231681034483,2925.8503448578726,0.0,13670.0,928
p1_skipped_move,0.0,0.0,0.0,0.0,928
p1_depth,11.879310344827585,10.332848667881537,2.0,30.0,928
p1_time_spent,0.6981746863149086,0.7560320957153529,0.0023808999976608902,2.7699833999795374,928
