,mean,std,min,max,count
p0_nodes,11504.273660205245,17368.099047006785,74.0,103076.0,877
p0_cutoffs,4979.655644241733,8375.41257432725,0.0,52946.0,877
p0_tt_hits,2447.63511972634,4181.276510312124,0.0,30371.0,877
p0_tt_cutoffs,1691.6989737742304,3029.6550737755083,0.0,23000.0,877
p0_skipped_move,0.0,0.0,0.0,0.0,877
p0_depth,8.476624857468643,5.876219474550616,2.0,15.0,877
p0_time_spent,0.5185574329530986,0.7716987507171701,0.0013823999906890094,4.706279899983201,877
p1_nodes,14895.379198266523,16535.554815572683,149.0,87040.0,923
p1_cutoffs,6283.267605633803,7998.463745297193,0.0,42608.0,923
p1_tt_hits,3467.5146262188514,4703.590828628222,0.0,33796.0,923
p1_tt_cutoffs,2258.7345612134345,3146.0672576351444,0.0,21536.0,923
p1_skipped_move,0.0,0.0,0.0,0.0,923
p1_depth,12.80931744312026,11.182831983450603,1.0,30.0,923
p1_time_spent,0.6452501993501806,0.6946455861208662,0.0021526000055018812,2.564290299982531,923
