,mean,std,min,max,count
p0_nodes,17507.992907801417,27478.406763278264,89.0,168234.0,282
p0_cutoffs,8324.54255319149,14452.884738676423,0.0,90471.0,282
p0_tt_hits,4302.312056737589,7621.359297455964,0.0,48339.0,282
p0_tt_cutoffs,2892.2163120567375,5307.310614976986,0.0,34211.0,282
p0_skipped_move,0.0,0.0,0.0,0.0,282
p0_depth,9.677304964539006,7.211996200129654,2.0,18.0,282
p0_time_spent,0.7592992631199188,1.149532175890025,0.0014691000105813146,7.126432699966244,282
p1_nodes,15417.965408805032,18833.07312075646,149.0,76800.0,318
p1_cutoffs,6901.276729559749,9700.059406815393,0.0,41234.0,318
p1_tt_hits,3746.5408805031448,5507.251059236437,0.0,27367.0,318
p1_tt_cutoffs,2418.801886792453,3658.007707110451,0.0,17917.0,318
p1_skipped_move,0.0,0.0,0.0,0.0,318
p1_depth,13.78930817610063,11.600380015435345,2.0,30.0,318
p1_time_spent,0.6706994676106952,0.7642404275794343,0.0022645999561063945,2.755214100005105,318
