,mean,std,min,max,count
p0_nodes,15424.074860335195,23759.692714234392,74.0,108544.0,895
p0_cutoffs,5451.795530726257,8600.793698958665,0.0,37881.0,895
p0_tt_hits,3277.341899441341,5589.175791306043,0.0,34906.0,895
p0_tt_cutoffs,1862.6145251396647,3112.892985580662,0.0,16126.0,895
p0_skipped_move,0.0,0.0,0.0,0.0,895
p0_depth,8.479329608938547,5.836637089238089,2.0,15.0,895
p0_time_spent,0.5109374449162085,0.7521329002041032,0.0011150999998790212,3.1683061999974598,895
p1_nodes,14629.54364640884,21259.91862591886,74.0,86016.0,905
p1_cutoffs,5232.218784530387,8019.6475754175935,0.0,35931.0,905
p1_tt_hits,3118.0541436464086,5010.449619588908,0.0,28287.0,905
p1_tt_cutoffs,1772.5602209944752,2862.7610882823205,0.0,13428.0,905
p1_skipped_move,0.0,0.0,0.0,0.0,905
p1_depth,8.45524861878453,5.809730603872258,2.0,15.0,905
p1_time_spent,0.5618847712706503,0.7894171203011007,0.0018466000001353677,3.1971116999993683,905
