,mean,std,min,max,count
p0_nodes,14724.701837985023,18321.831876313125,0.0,68608.0,2938
p0_cutoffs,6995.969707283866,10224.942289143002,0.0,39835.0,2938
p0_tt_hits,3032.477876106195,4213.102133240183,0.0,19563.0,2938
p0_tt_cutoffs,2327.5925799863853,3460.649664909712,0.0,16102.0,2938
p0_skipped_move,0.0,0.0,0.0,0.0,2938
p0_depth,11.73213070115725,10.51178771801098,0.0,30.0,2938
p0_time_spent,0.7649180358065764,0.9835294444498798,3.850000211969018e-05,3.370257500006119,2938
p1_nodes,13399.95558458524,14292.478190511403,108.0,62843.0,3062
p1_cutoffs,5642.234487263227,7123.453256604741,0.0,30490.0,3062
p1_tt_hits,2775.860875244938,3541.2897985350814,0.0,29363.0,3062
p1_tt_cutoffs,1927.5721750489877,2667.4702848011198,0.0,17732.0,3062
p1_skipped_move,0.0,0.0,0.0,0.0,3062
p1_depth,12.458850424559111,9.7604273597406,2.0,24.0,3062
p1_time_spent,0.6747151313522479,0.7857111329080179,0.0014863999967928976,2.384952299995348,3062
