,mean,std,min,max,count
p0_nodes,8039.571193686287,9623.329682863554,65.0,40960.0,3041
p0_cutoffs,3134.5498191384413,3953.5828205492203,0.0,23147.0,3041
p0_tt_hits,1320.338046695166,1601.8993257017296,0.0,9735.0,3041
p0_tt_cutoffs,929.9200920749753,1234.28763036938,0.0,7858.0,3041
p0_skipped_move,0.0,0.0,0.0,0.0,3041
p0_depth,8.67083196317001,5.899060581973808,2.0,15.0,3041
p1_nodes,9783.940182494085,15548.012103063742,66.0,172011.0,2959
p1_cutoffs,4079.455221358567,6370.708925983584,0.0,59288.0,2959
p1_tt_hits,2331.9773572152753,3615.0134567511222,0.0,36271.0,2959
p1_tt_cutoffs,1745.8516390672526,2751.668910521265,0.0,25571.0,2959
p1_skipped_move,0.0,0.0,0.0,0.0,2959
p1_depth,8.621155795876986,5.922968268377337,2.0,15.0,2959
