,mean,std,min,max,count
p0_nodes,3242.573080099092,3234.154107284226,208.0,15260.0,2422
p0_cutoffs,1389.88769611891,1647.0619270436243,39.0,8904.0,2422
p0_tt_hits,480.44178364987613,621.8490146852585,1.0,3864.0,2422
p0_tt_cutoffs,370.0388109000826,519.7186903252568,0.0,3380.0,2422
p0_skipped_move,0.0,0.0,0.0,0.0,2422
p0_depth,6.147811725846408,4.50511606607941,2.0,13.0,2422
p1_nodes,11002.6444941308,13260.917552394829,99.0,40448.0,3578
p1_cutoffs,6101.449413079933,8038.679396952823,0.0,26676.0,3578
p1_tt_hits,2291.975405254332,3059.9638809960593,0.0,13197.0,3578
p1_tt_cutoffs,1838.6584684181107,2559.995898032912,0.0,10361.0,3578
p1_skipped_move,0.0,0.0,0.0,0.0,3578
p1_depth,15.660145332588039,10.573582793035206,2.0,25.0,3578
