,mean,std,min,max,count
p0_nodes,15986.792125458793,22137.913343305274,0.0,86016.0,2997
p0_cutoffs,8249.091091091092,13284.178467520464,0.0,50022.0,2997
p0_tt_hits,4224.452786119453,6668.576918877025,0.0,29251.0,2997
p0_tt_cutoffs,3150.0256923590255,5210.093355572529,0.0,23367.0,2997
p0_skipped_move,0.0,0.0,0.0,0.0,2997
p0_depth,13.810477143810477,12.443349788535828,0.0,30.0,2997
p0_time_spent,0.6942910578246038,0.930428187083813,5.5800002883188426e-05,3.36144229999627,2997
p0_pvs_nodes,0.0,0.0,0.0,0.0,2997
p0_pvs_fallout,0.0,0.0,0.0,0.0,2997
p0_aspiration_nodes,0.0,0.0,0.0,0.0,2997
p0_aspiration_fall_low,0.0,0.0,0.0,0.0,2997
p0_aspiration_fall_high,0.0,0.0,0.0,0.0,2997
p0_value,1.0693827160934413,4.177754630565347,-18.999999999976083,17.000000000096428,2997
p1_nodes,15689.814518814519,21867.88907679981,0.0,90624.0,3003
p1_cutoffs,8277.467532467532,13392.74605089428,0.0,52903.0,3003
p1_tt_hits,4238.178488178488,6801.379138962788,0.0,32608.0,3003
p1_tt_cutoffs,3230.4378954378953,5409.61930133755,0.0,25635.0,3003
p1_skipped_move,0.0,0.0,0.0,0.0,3003
p1_depth,14.161505161505161,12.683900897997946,0.0,30.0,3003
p1_time_spent,0.6850838716282853,0.9179154902720373,5.9300000430084765e-05,3.359619000002567,3003
p1_pvs_nodes,0.0,0.0,0.0,0.0,3003
p1_pvs_fallout,0.0,0.0,0.0,0.0,3003
p1_aspiration_nodes,14.83083583083583,12.327370257948164,0.0,30.0,3003
p1_aspiration_fall_low,2.1238761238761237,3.456013406413145,0.0,19.0,3003
p1_aspiration_fall_high,2.524808524808525,3.469811857623784,0.0,19.0,3003
p1_value,1.0322943723402849,4.456214251125955,-16.999999999991,19.00000000009294,3003
