,mean,std,min,max,count
p0_nodes,16368.543913190912,22577.514441539828,0.0,84992.0,2949
p0_cutoffs,8426.267209223466,13543.695306297568,0.0,48025.0,2949
p0_tt_hits,4296.999660902001,6750.286545517304,0.0,29896.0,2949
p0_tt_cutoffs,3214.563919972872,5323.188109243273,0.0,23106.0,2949
p0_skipped_move,0.0,0.0,0.0,0.0,2949
p0_depth,13.117327907765343,12.137136101709157,0.0,30.0,2949
p0_time_spent,0.7193781747711407,0.9591457169900041,5.5800002883188426e-05,3.362811999999394,2949
p0_pvs_nodes,0.0,0.0,0.0,0.0,2949
p0_pvs_fallout,0.0,0.0,0.0,0.0,2949
p0_aspiration_nodes,0.0,0.0,0.0,0.0,2949
p0_aspiration_fall_low,0.0,0.0,0.0,0.0,2949
p0_aspiration_fall_high,0.0,0.0,0.0,0.0,2949
p0_value,0.6584638861062071,4.41440614365672,-20.999999999978563,17.000000000093497,2949
p1_nodes,16265.28089151098,22234.606022080843,0.0,87040.0,3051
p1_cutoffs,8374.420845624385,13340.533527252635,0.0,51777.0,3051
p1_tt_hits,4437.732546705998,6790.334423985571,0.0,31691.0,3051
p1_tt_cutoffs,3301.967551622419,5311.4631432083725,0.0,24824.0,3051
p1_skipped_move,0.0,0.0,0.0,0.0,3051
p1_depth,12.902982628646345,11.934999346167217,0.0,30.0,3051
p1_time_spent,0.6971380109471752,0.9273747747900605,5.5900003644637764e-05,3.3564944000027026,3051
p1_pvs_nodes,0.0,0.0,0.0,0.0,3051
p1_pvs_fallout,0.0,0.0,0.0,0.0,3051
p1_aspiration_nodes,0.0,0.0,0.0,0.0,3051
p1_aspiration_fall_low,0.0,0.0,0.0,0.0,3051
p1_aspiration_fall_high,0.0,0.0,0.0,0.0,3051
p1_value,1.6790986562247179,4.570516418125884,-14.999999999992614,21.00000000008723,3051
