,mean,std,min,max,count
p0_nodes,12802.351626684193,13268.847171471296,109.0,48640.0,3043
p0_cutoffs,5519.361485376274,6674.027011943429,0.0,29662.0,3043
p0_tt_hits,2541.8123562274072,3073.1150985213008,0.0,15245.0,3043
p0_tt_cutoffs,1837.0867564903056,2445.280522909408,0.0,11354.0,3043
p0_skipped_move,0.0,0.0,0.0,0.0,3043
p0_depth,12.342096615182387,9.709633822447621,2.0,24.0,3043
p1_nodes,11095.927291173486,11084.779158101961,108.0,41472.0,2957
p1_cutoffs,4797.868785931688,5877.8965456630895,0.0,25045.0,2957
p1_tt_hits,2212.7815353398714,2783.797701553785,0.0,15796.0,2957
p1_tt_cutoffs,1616.3209333784241,2202.654254478709,0.0,12198.0,2957
p1_skipped_move,0.0,0.0,0.0,0.0,2957
p1_depth,11.656408522150828,9.490092569063615,2.0,24.0,2957
