,mean,std,min,max,count
p0_nodes,12966.26439878747,13282.608560555265,103.0,45291.0,2969
p0_cutoffs,5558.748400134726,6654.054270551999,0.0,25611.0,2969
p0_tt_hits,2538.849781071068,3077.0895571096084,0.0,15324.0,2969
p0_tt_cutoffs,1845.2361064331424,2455.0109708077866,0.0,12827.0,2969
p0_skipped_move,0.0,0.0,0.0,0.0,2969
p0_depth,11.979117547995958,9.616574913363035,2.0,24.0,2969
p1_nodes,13014.525569119103,13573.000829450162,107.0,53760.0,3031
p1_cutoffs,5897.2725173210165,7015.622050713877,0.0,30476.0,3031
p1_tt_hits,3386.1082151105247,3982.8038781665427,0.0,19378.0,3031
p1_tt_cutoffs,2557.9284064665126,3146.3620591113754,0.0,14770.0,3031
p1_skipped_move,0.0,0.0,0.0,0.0,3031
p1_depth,12.317387000989772,9.793389755932116,2.0,24.0,3031
