,mean,std,min,max,count
p0_nodes,9982.432078009415,11929.757065738539,88.0,56832.0,2974
p0_cutoffs,4648.044048419637,6114.173739728008,0.0,24856.0,2974
p0_tt_hits,2040.6365164761264,2776.641171702515,0.0,11906.0,2974
p0_tt_cutoffs,1541.093476798924,2178.2378090855636,0.0,9585.0,2974
p0_skipped_move,0.0,0.0,0.0,0.0,2974
p0_depth,10.97511768661735,8.131198865657806,2.0,20.0,2974
p0_time_spent,0.35430220013470504,0.4509576532287091,0.0007878000033088028,1.5971858000266366,2974
p1_nodes,8690.158294778586,9528.180133514525,89.0,37376.0,3026
p1_cutoffs,4179.976206212822,5430.684092991789,0.0,22098.0,3026
p1_tt_hits,1830.873760740251,2461.1707548226145,0.0,11876.0,3026
p1_tt_cutoffs,1383.8595505617977,1964.8962274976332,0.0,8808.0,3026
p1_skipped_move,0.0,0.0,0.0,0.0,3026
p1_depth,10.947455386649041,8.100505590090961,2.0,20.0,3026
p1_time_spent,0.4161324052544685,0.4531607781867592,0.0013376999995671213,1.4671247999649495,3026
