,mean,std,min,max,count
p0_nodes,12733.084905660377,19280.612957119,74.0,85300.0,106
p0_cutoffs,5822.981132075472,9800.272626147387,0.0,43566.0,106
p0_tt_hits,2838.603773584906,4823.936126097133,0.0,20862.0,106
p0_tt_cutoffs,2010.3867924528302,3539.9996710658484,0.0,15145.0,106
p0_skipped_move,0.0,0.0,0.0,0.0,106
p0_depth,7.8584905660377355,5.808969445908276,2.0,15.0,106
p0_time_spent,0.8080705369907178,1.1679590830832283,0.0016689259973645676,5.0989481739998155,106
p1_nodes,9421.194029850747,10136.951074250846,149.0,33792.0,134
p1_cutoffs,4036.5373134328356,4878.145833305495,0.0,17169.0,134
p1_tt_hits,2161.186567164179,2682.8772457827736,0.0,8736.0,134
p1_tt_cutoffs,1455.7835820895523,1863.094394232349,0.0,6121.0,134
p1_skipped_move,0.0,0.0,0.0,0.0,134
p1_depth,12.32089552238806,10.742300780731812,1.0,30.0,134
p1_time_spent,0.5826474572387446,0.6162845867261857,0.0033398870000382885,1.98569483999745,134
