,mean,std,min,max,count
p0_nodes,10958.18989280245,13910.008651570224,95.0,82380.0,653
p0_cutoffs,5960.85145482389,8714.966588986634,0.0,51324.0,653
p0_tt_hits,2266.9525267993877,3434.6781650231624,0.0,23882.0,653
p0_tt_cutoffs,1802.856049004594,2827.299961569893,0.0,18217.0,653
p0_skipped_move,0.0,0.0,0.0,0.0,653
p0_depth,13.983154670750382,10.051080465898819,2.0,24.0,653
p0_time_spent,0.5880509407351916,0.7469552223247667,0.002593000011984259,3.630789900009404,653
p1_nodes,6894.53382084095,8333.498303950491,71.0,50925.0,547
p1_cutoffs,3554.2943327239486,5165.034480420723,0.0,30245.0,547
p1_tt_hits,1271.2669104204754,1920.408259949728,0.0,13432.0,547
p1_tt_cutoffs,1001.3180987202925,1556.8697375238532,0.0,10579.0,547
p1_skipped_move,0.0,0.0,0.0,0.0,547
p1_depth,9.383912248628885,7.159118452439915,2.0,18.0,547
p1_time_spent,0.48183025539263896,0.5648632674286036,0.0019785000040428713,3.134032900008606,547
