,mean,std,min,max,count
p0_nodes,10705.960264900663,5630.577133379247,141.0,28672.0,906
p0_cutoffs,3966.2240618101546,4134.319899642233,0.0,14905.0,906
p0_tt_hits,1797.364238410596,2190.508613160006,0.0,12115.0,906
p0_tt_cutoffs,1318.971302428256,1739.3238502734596,0.0,9621.0,906
p0_skipped_move,0.0,0.0,0.0,0.0,906
p0_depth,13.55849889624724,11.524204279728117,2.0,30.0,906
p0_time_spent,0.6189018833326592,0.2908588295796033,0.0019783999887295067,0.9592137999716215,906
p1_nodes,11083.271812080537,5803.266007947947,138.0,30290.0,894
p1_cutoffs,4210.307606263982,4382.1431223746795,0.0,18385.0,894
p1_tt_hits,1911.1510067114093,2302.0096877460387,0.0,10408.0,894
p1_tt_cutoffs,1411.5671140939598,1832.0936378484296,0.0,8233.0,894
p1_skipped_move,0.0,0.0,0.0,0.0,894
p1_depth,13.675615212527964,11.6344359078747,2.0,30.0,894
p1_time_spent,0.6322567001115624,0.28427384696109537,0.0020176999969407916,0.9900714000104927,894
