,mean,std,min,max,count
p0_nodes,10859.655857740585,5825.033555829974,137.0,29696.0,956
p0_cutoffs,4195.132845188285,4230.038518540396,0.0,16836.0,956
p0_tt_hits,1916.7008368200836,2311.555990386965,0.0,10847.0,956
p0_tt_cutoffs,1420.6349372384936,1787.6516495325536,0.0,8471.0,956
p0_skipped_move,107.46548117154812,87.53801242983509,0.0,397.0,956
p0_depth,14.247907949790795,11.646925978328566,2.0,30.0,956
p0_time_spent,0.6111497016738449,0.29112221603938226,0.0020069999736733735,0.9357514000148512,956
p1_nodes,11201.918246445497,5754.917680446802,140.0,29184.0,844
p1_cutoffs,4174.7571090047395,4369.4563538779885,0.0,17519.0,844
p1_tt_hits,1827.1196682464456,2293.457063997469,0.0,9093.0,844
p1_tt_cutoffs,1355.527251184834,1772.8207356164864,0.0,7309.0,844
p1_skipped_move,117.88388625592417,89.85717089997993,0.0,387.0,844
p1_depth,12.453791469194313,11.046176123517837,2.0,30.0,844
p1_time_spent,0.6572485818714262,0.270502311437086,0.002081400016322732,0.9809076000237837,844
