,mean,std,min,max,count
p0_nodes,9283.560636182903,9774.013836950091,118.0,46076.0,503
p0_cutoffs,3314.041749502982,4611.962041152586,0.0,24636.0,503
p0_tt_hits,1645.9085487077534,2462.9607987560876,0.0,14652.0,503
p0_tt_cutoffs,1111.2803180914514,1815.1203792047163,0.0,10818.0,503
p0_skipped_move,0.0,0.0,0.0,0.0,503
p0_depth,9.067594433399602,9.000740171603033,1.0,25.0,503
p0_time_spent,0.8166240093436948,0.8644598104976139,0.00642570000491105,2.550694499994279,503
p1_nodes,8129.497847919655,8251.222648608553,116.0,33280.0,697
p1_cutoffs,3633.2008608321376,4481.90514706819,0.0,18730.0,697
p1_tt_hits,1685.7302725968436,2161.4957562511204,0.0,12253.0,697
p1_tt_cutoffs,1247.209469153515,1751.6275380807547,0.0,9522.0,697
p1_skipped_move,0.0,0.0,0.0,0.0,697
p1_depth,12.470588235294118,9.754199114808932,1.0,25.0,697
p1_time_spent,0.6544214558111492,0.7544761461153423,0.00623089999135118,2.4875720999989426,697
