,mean,std,min,max,count
p0_nodes,16350.52768361582,10953.140835342077,98.0,79360.0,885
p0_cutoffs,2040.1581920903955,2540.698313156855,0.0,21300.0,885
p0_tt_hits,2121.4926553672317,4749.978681510562,0.0,49013.0,885
p0_tt_cutoffs,719.4418079096046,1337.0768226487692,0.0,8954.0,885
p0_skipped_move,486.290395480226,709.9732869713043,0.0,3533.0,885
p0_depth,9.294915254237289,10.372607728749461,2.0,30.0,885
p0_time_spent,0.6622512694896794,0.270812093688923,0.0014300000038929284,1.03279259998817,885
p1_nodes,15965.849180327868,10978.138366532814,98.0,56320.0,915
p1_cutoffs,2054.6546448087433,2586.1823392132956,0.0,19045.0,915
p1_tt_hits,2198.2295081967213,4901.057803943881,0.0,32767.0,915
p1_tt_cutoffs,718.7420765027323,1365.913430090938,0.0,9390.0,915
p1_skipped_move,437.71147540983605,628.6998152832299,0.0,3068.0,915
p1_depth,10.029508196721311,10.897545884992025,2.0,30.0,915
p1_time_spent,0.6414928162833065,0.2837554940625559,0.0014121999847702682,0.9422885999665596,915
