,mean,std,min,max,count
p0_nodes,9698.610354223434,12536.85261982125,0.0,53248.0,367
p0_cutoffs,5264.177111716621,7225.579295197912,0.0,30051.0,367
p0_tt_hits,2344.182561307902,3606.699894284845,0.0,16462.0,367
p0_tt_cutoffs,1852.149863760218,2933.3682663893733,0.0,13167.0,367
p0_skipped_move,0.0,0.0,0.0,0.0,367
p0_depth,9.9291553133515,9.97464879745415,0.0,24.0,367
p0_time_spent,0.5343684256131928,0.6607962906618433,7.619999814778566e-05,2.355829799998901,367
p1_nodes,10329.232645403377,12895.000443192263,120.0,51200.0,533
p1_cutoffs,5555.287054409006,7943.544371391397,0.0,30856.0,533
p1_tt_hits,2570.838649155722,3732.007835506895,0.0,14078.0,533
p1_tt_cutoffs,2071.015009380863,3088.2117268037728,0.0,11749.0,533
p1_skipped_move,0.0,0.0,0.0,0.0,533
p1_depth,18.172607879924954,12.838155495963957,2.0,30.0,533
p1_time_spent,0.5424375262666309,0.649982255292726,0.005721800000173971,2.553737700000056,533
