,mean,std,min,max,count
p0_nodes,10359.761467889908,13465.45957878427,99.0,53760.0,109
p0_cutoffs,5522.587155963302,7672.907044766878,0.0,30635.0,109
p0_tt_hits,2662.6880733944954,3943.610553322903,0.0,16889.0,109
p0_tt_cutoffs,2107.1100917431195,3179.0789282300784,0.0,13231.0,109
p0_skipped_move,0.0,0.0,0.0,0.0,109
p0_depth,12.247706422018348,10.098738192869636,2.0,25.0,109
p0_time_spent,0.5799968027519895,0.7238655320911602,0.007581099998787977,2.611856600007741,109
p1_nodes,11429.053435114503,14351.186745785586,120.0,60416.0,131
p1_cutoffs,5977.2900763358775,8700.26438616311,0.0,36055.0,131
p1_tt_hits,3038.351145038168,4471.078948158556,0.0,18972.0,131
p1_tt_cutoffs,2422.7480916030536,3639.90576034267,0.0,15261.0,131
p1_skipped_move,0.0,0.0,0.0,0.0,131
p1_depth,17.129770992366414,12.79933022255574,2.0,30.0,131
p1_time_spent,0.6139953290078992,0.7164140222770078,0.005784199995105155,2.890588000009302,131
