,mean,std,min,max,count
p0_nodes,10183.483333333334,5481.785327949483,119.0,31744.0,1500
p0_cutoffs,3649.9113333333335,4014.2350013593154,0.0,15516.0,1500
p0_tt_hits,1730.6706666666666,2234.920176845895,0.0,12655.0,1500
p0_tt_cutoffs,1240.1306666666667,1655.6041323112906,0.0,9165.0,1500
p0_skipped_move,0.0,0.0,0.0,0.0,1500
p0_depth,12.969333333333333,11.52234320305071,2.0,30.0,1500
p0_time_spent,0.6305507927324312,0.28574085113753006,0.001673599996138364,1.0512138000049163,1500
p0_pvs_nodes,0.0,0.0,0.0,0.0,1500
p0_pvs_fallout,0.0,0.0,0.0,0.0,1500
p0_aspiration_nodes,0.0,0.0,0.0,0.0,1500
p0_aspiration_fall_low,0.0,0.0,0.0,0.0,1500
p0_aspiration_fall_high,0.0,0.0,0.0,0.0,1500
p0_value,0.6171533333884358,3.878732021749735,-18.99999999997263,17.00000000006126,1500
p1_nodes,14065.030666666667,18737.19506245246,0.0,72192.0,1500
p1_cutoffs,7359.757333333333,11085.711016008228,0.0,43315.0,1500
p1_tt_hits,3363.542,5097.166550437867,0.0,21711.0,1500
p1_tt_cutoffs,2643.124,4130.141037699641,0.0,17783.0,1500
p1_skipped_move,0.0,0.0,0.0,0.0,1500
p1_depth,13.368,11.457831790235591,0.0,30.0,1500
p1_time_spent,0.7338467397334558,0.9655427007998205,5.85000088904053e-05,3.3630669999984093,1500
p1_pvs_nodes,0.0,0.0,0.0,0.0,1500
p1_pvs_fallout,0.0,0.0,0.0,0.0,1500
p1_aspiration_nodes,0.0,0.0,0.0,0.0,1500
p1_aspiration_fall_low,0.0,0.0,0.0,0.0,1500
p1_aspiration_fall_high,0.0,0.0,0.0,0.0,1500
p1_value,1.3461800000479864,4.347812339672157,-16.999999999973163,20.00000000007466,1500
