,mean,std,min,max,count
p1_nodes,16380.509330406147,10799.794961040541,89.0,69453.0,3644
p1_cutoffs,2404.060922063666,2656.325661696366,0.0,16253.0,3644
p1_tt_hits,2573.2318880351263,4599.178361661465,0.0,39599.0,3644
p1_tt_cutoffs,1102.2442371020857,1539.4798662794333,0.0,10166.0,3644
p1_skipped_move,0.0,0.0,0.0,0.0,3644
p1_depth,11.154774972557629,11.244009344307441,2.0,30.0,3644
p1_time_spent,0.5843200516465363,0.2939774369933548,0.0011950000007345807,0.9537903999989794,3644
p1_pvs_nodes,0.0,0.0,0.0,0.0,3644
p1_pvs_fallout,0.0,0.0,0.0,0.0,3644
p1_aspiration_nodes,0.0,0.0,0.0,0.0,3644
p1_aspiration_fall_low,0.0,0.0,0.0,0.0,3644
p1_aspiration_fall_high,0.0,0.0,0.0,0.0,3644
p1_value,2.1616877058799373,2.643909063755137,-6.999999999996412,12.00000000009259,3644
