,mean,std,min,max,count
p0_nodes,15672.784273504274,21735.993351678946,0.0,81920.0,2925
p0_cutoffs,8088.319658119658,13033.006043449373,0.0,46531.0,2925
p0_tt_hits,3963.08547008547,6286.560240517237,0.0,27069.0,2925
p0_tt_cutoffs,2969.931282051282,4939.198480849555,0.0,20176.0,2925
p0_skipped_move,0.0,0.0,0.0,0.0,2925
p0_depth,12.917264957264956,12.173812135943722,0.0,30.0,2925
p0_time_spent,0.7306191965463595,0.9765758988527062,5.119998240843415e-05,3.360840899986215,2925
p0_pvs_nodes,0.0,0.0,0.0,0.0,2925
p0_pvs_fallout,0.0,0.0,0.0,0.0,2925
p0_aspiration_nodes,0.0,0.0,0.0,0.0,2925
p0_aspiration_fall_low,0.0,0.0,0.0,0.0,2925
p0_aspiration_fall_high,0.0,0.0,0.0,0.0,2925
p0_value,0.8399555556002797,4.5338721736559195,-18.999999999987907,17.00000000008508,2925
p1_nodes,13011.599674796747,18136.23570014246,0.0,75776.0,3075
p1_cutoffs,7116.666666666667,11439.93693625425,0.0,46043.0,3075
p1_tt_hits,3564.3853658536586,5585.6091966474005,0.0,26095.0,3075
p1_tt_cutoffs,2741.140487804878,4520.5807353138625,0.0,20631.0,3075
p1_skipped_move,98.93463414634147,126.95328871645296,0.0,733.0,3075
p1_depth,13.293658536585365,12.159346184036382,0.0,30.0,3075
p1_time_spent,0.6848389758375413,0.907605400914096,5.3099996875971556e-05,3.3651935000088997,3075
p1_pvs_nodes,5352.073170731707,6348.899365302903,0.0,30338.0,3075
p1_pvs_fallout,93.4,55.30335557822312,0.0,287.0,3075
p1_aspiration_nodes,13.986991869918699,11.819200028984076,0.0,30.0,3075
p1_aspiration_fall_low,1.573658536585366,2.653549017347857,0.0,16.0,3075
p1_aspiration_fall_high,2.176910569105691,3.117105215895265,0.0,17.0,3075
p1_value,1.4543830894741125,4.720306844965707,-15.959999999985072,19.960000000098034,3075
