,mean,std,min,max,count
p0_nodes,15561.20871559633,21808.085001121406,0.0,87040.0,3052
p0_cutoffs,8108.994429882045,13144.623914818812,0.0,50446.0,3052
p0_tt_hits,4080.326998689384,6506.793924721002,0.0,33348.0,3052
p0_tt_cutoffs,3073.280144167759,5109.8583107482455,0.0,25408.0,3052
p0_skipped_move,0.0,0.0,0.0,0.0,3052
p0_depth,14.153342070773263,12.568191922526774,0.0,30.0,3052
p0_time_spent,0.683931485976442,0.9272819272470801,5.77000027988106e-05,3.360263100003067,3052
p0_pvs_nodes,0.0,0.0,0.0,0.0,3052
p0_pvs_fallout,0.0,0.0,0.0,0.0,3052
p0_aspiration_nodes,0.0,0.0,0.0,0.0,3052
p0_aspiration_fall_low,0.0,0.0,0.0,0.0,3052
p0_aspiration_fall_high,0.0,0.0,0.0,0.0,3052
p0_value,1.293610747097488,4.261201244391319,-16.9999999999896,18.000000000099988,3052
p1_nodes,16332.35040705563,22352.70120927436,0.0,86528.0,2948
p1_cutoffs,8676.765603799186,13600.395239874886,0.0,50859.0,2948
p1_tt_hits,4402.667232021709,6778.530219480922,0.0,28227.0,2948
p1_tt_cutoffs,3308.8785617367707,5335.101804599675,0.0,22555.0,2948
p1_skipped_move,0.0,0.0,0.0,0.0,2948
p1_depth,13.687584803256446,12.400995517493664,0.0,30.0,2948
p1_time_spent,0.7151351563093732,0.9409762783276704,5.850000161444768e-05,3.3629050999952597,2948
p1_pvs_nodes,6997.0943012211665,8255.125577510591,0.0,35000.0,2948
p1_pvs_fallout,127.44979647218453,58.62662012087265,0.0,372.0,2948
p1_aspiration_nodes,0.0,0.0,0.0,0.0,2948
p1_aspiration_fall_low,0.0,0.0,0.0,0.0,2948
p1_aspiration_fall_high,0.0,0.0,0.0,0.0,2948
p1_value,0.8151763908187374,4.181054811652244,-17.999999999991335,17.000000000034476,2948
