,mean,std,min,max,count
p0_nodes,16142.560209424084,22249.610198648283,0.0,89088.0,3056
p0_cutoffs,8293.995746073299,13242.966740375683,0.0,51466.0,3056
p0_tt_hits,4322.923756544503,6810.7190672091365,0.0,32490.0,3056
p0_tt_cutoffs,3214.7208769633507,5284.901047646239,0.0,25719.0,3056
p0_skipped_move,0.0,0.0,0.0,0.0,3056
p0_depth,13.87140052356021,12.298459822559902,0.0,30.0,3056
p0_time_spent,0.6974096462369401,0.9321676322215547,5.7600002037361264e-05,3.364294200000586,3056
p0_pvs_nodes,0.0,0.0,0.0,0.0,3056
p0_pvs_fallout,0.0,0.0,0.0,0.0,3056
p0_aspiration_nodes,0.0,0.0,0.0,0.0,3056
p0_aspiration_fall_low,0.0,0.0,0.0,0.0,3056
p0_aspiration_fall_high,0.0,0.0,0.0,0.0,3056
p0_value,1.5640445026650136,4.280478708579289,-15.999999999997652,20.00000000009807,3056
p1_nodes,16116.025135869566,21976.307987379536,0.0,89088.0,2944
p1_cutoffs,8227.464673913044,13075.39759070454,0.0,50335.0,2944
p1_tt_hits,4237.993206521739,6593.789161481278,0.0,31540.0,2944
p1_tt_cutoffs,3155.336616847826,5159.154285215669,0.0,22534.0,2944
p1_skipped_move,124.91610054347827,189.75515033255098,0.0,1251.0,2944
p1_depth,13.26664402173913,12.176126025440517,0.0,30.0,2944
p1_time_spent,0.7166336873640524,0.9476024005423987,5.94000011915341e-05,3.3594850999943446,2944
p1_pvs_nodes,0.0,0.0,0.0,0.0,2944
p1_pvs_fallout,0.0,0.0,0.0,0.0,2944
p1_aspiration_nodes,0.0,0.0,0.0,0.0,2944
p1_aspiration_fall_low,0.0,0.0,0.0,0.0,2944
p1_aspiration_fall_high,0.0,0.0,0.0,0.0,2944
p1_value,0.45201426634827063,4.265247694165323,-18.999999999965922,18.000000000099604,2944
